時間,IP,RawData
2019-01-22 04:55:00,46.100.230.248,"""GET /image/57442/productModel/200x200 HTTP/1.1"" 200 3950 ""https://www.zanbil.ir/m/filter/b219%2Cp1392?page=1"" ""Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"" ""-"""
2019-01-22 04:55:00,46.100.230.248,"""GET /image/57444/productModel/200x200 HTTP/1.1"" 200 5480 ""https://www.zanbil.ir/m/filter/b219%2Cp1392?page=1"" ""Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"" ""-"""
2019-01-22 04:55:00,157.55.39.245,"""GET /filter?f=p13128%2Cstexists&o=st HTTP/1.1"" 302 0 ""-"" ""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"" ""-"""
2019-01-22 04:55:00,46.100.230.248,"""GET /image/57450/productModel/200x200 HTTP/1.1"" 200 6123 ""https://www.zanbil.ir/m/filter/b219%2Cp1392?page=1"" ""Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"" ""-"""
2019-01-22 04:55:00,46.100.230.248,"""GET /image/57451/productModel/200x200 HTTP/1.1"" 200 5204 ""https://www.zanbil.ir/m/filter/b219%2Cp1392?page=1"" ""Mozilla/5.0 (Linux; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"" ""-"""
2019-01-22 04:55:01,66.249.66.91,"""GET /filter/b481%2Cb874%2Cb32%2Cb67%2Cb226%2Cb41%2Cb136%2Cb570%2Cb598%2Cb180%2Cb615%2Cb168%2Cb103%2Cb80%2Cb213%2Cb597%2Cb724%2Cb613%2Cb135%2Cb877%2Cb497%2Cb435%2Cb194%2Cb861%2Cb256%2Cb854%2Cb198%2Cb647%2Cb679%2Cb88%2Cb441%2Cb6%2Cb221%2Cb645%2Cb219%2Cb50%2Cb151%2Cb192%2Cstexists%2Cb203%2Cb202%2Cb795%2Cb20?page=41 HTTP/1.1"" 200 39633 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"""
2019-01-22 04:55:01,91.99.72.15,"""GET /product/7515?model=9197 HTTP/1.1"" 200 39860 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36"" ""-"""
2019-01-22 04:55:02,66.249.66.194,"""GET /filter/b215,b691,b880 HTTP/1.1"" 200 36311 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"""
2019-01-22 04:55:02,17.58.102.43,"""GET /filter/b211%2Cb502%2Cb214%2Cb390%2Cb548%2Cb481%2Cb111%2Cb261 HTTP/1.1"" 301 178 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)"" ""-"""
2019-01-22 04:55:03,144.76.119.99,"""GET /filter/p42%2Ct48%2Cstexists%2C1349%7C210-350%20%D9%88%D8%A7%D8%AA?name=%D9%BE%D9%86%DA%A9%D9%87&productType=fan HTTP/1.1"" 200 29790 ""-"" ""Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"" ""-"""
2019-01-22 04:55:03,157.55.39.245,"""GET /image/308/brand HTTP/1.1"" 200 2050 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"" ""-"""
